Date;TransType;Item;Description;TransID;TableSource;Qty;OriginalStoreroom;OriginalBin;ToStoreroom;ToBin;Location;PoNumber;InventoryUsage ;WorkOrder;ItemType;ItemCommCodes;WOCommGroup ;ConditionCode;ActualCost;LineCost;FromStoreroom;TopAsset;AssetConCode
2025-03-10;SHIPTRANSFER;13299_ITEM;Lichtsteuergerät LSG1;222299.0;MATRECTRANS;1.0;VZL1;DKR1E20310;VZL1;Railpool Lokservice Hamburg Altenwerder;;;41318.0;;SparePart;KA;;;320;320;DKR1;;
2025-03-10;SHIPTRANSFER;13300_ITEM;Lichtsteuergerät LSG1 (746178);222300.0;MATRECTRANS;1.0;VZL1;DKR1E17310;VZL1;Railpool Lokservice Hamburg Altenwerder;;;41318.0;;SparePart;KA;;;0;0;DKR1;;
2025-03-10;SHIPTRANSFER;13300_ITEM;Lichtsteuergerät LSG1 (746178);222602.0;MATRECTRANS;1.0;VZL1;DKR1E17310;VZL1;Railpool Lokservice Hamburg Altenwerder;;;41318.0;;SparePart;KA;;;382,34;382,34;DKR1;;
2025-03-10;CURBALADJ;ITEM5040;Module KM-02;3127904.0;INVTRANS;-2.0;PPO1;;;;;;;;SparePart;DA;;;-3475,36;-3475,36;;;
2025-03-10;TRANSFER;41912_ITEM;TRIOP 1516 C-01-F-K03-T-0, ALSTOM;222603.0;MATRECTRANS;1.0;FOS1;;FOS1;FOS1C02202;;;;;SparePart;FC;;REPAIRED;0;0;;;
2025-03-10;SHIPRECEIPT;ITEM4603;3370490-Vis tête hexa. M6-65;222604.0;MATRECTRANS;50.0;FOS1;FHIO1G01303;FOS1;FOS1I03305;;;41388.0;;SmallPart;MA;;;1,43;71,5;FHIO1;;
2025-03-10;SHIPRECEIPT;ITEM4603;3370490-Vis tête hexa. M6-65;222605.0;MATRECTRANS;4.0;FOS1;FHIO1G01303;FOS1;FOS1I03305;;;41388.0;;SmallPart;MA;;;1,43;5,72;FHIO1;;
2025-03-10;TRANSFER;41912_ITEM;TRIOP 1516 C-01-F-K03-T-0, ALSTOM;222606.0;MATRECTRANS;1.0;FOS1;;FOS1;FOS1C02202;;;;;SparePart;FC;;REPAIRED;0;0;;;
2025-03-10;TRANSFER;ITEM5040;Module KM-02;222607.0;MATRECTRANS;1.0;PPO1;;PPO1;PPO1D02402;;;;;SparePart;DA;;NEW;1737,68;1737,68;;;
2025-03-10;TRANSFER;ITEM5040;Module KM-02;222608.0;MATRECTRANS;1.0;PPO1;;PPO1;PPO1D02402;;;;;SparePart;DA;;NEW;1737,68;1737,68;;;
